"Year","Species","Mean_EUAU","SE_EUAU","Mean_AFAU","SE_AFAU","Mean_EFAU","SE_EFAU"
1996,"PITA",1.04320961979545,0.060208606606953,NA,NA,NA,NA
1997,"PITA",1.07589661086502,0.0613943040300103,NA,NA,NA,NA
1998,"PITA",1.10282724647659,0.0598483225711675,1.02537353481036,NA,1.03820393828669,NA
1999,"PITA",1.12757027724728,0.0613464674178811,1.05859822367125,NA,1.08589462727045,NA
2000,"PITA",1.14559047207482,0.0662273582432565,1.05973822045025,NA,1.138612575597,NA
2001,"PITA",1.17584350664592,0.0699501315378348,1.0762180630115,NA,1.15366595604376,NA
2002,"PITA",1.1830934598481,0.0679186410944783,1.09454430202035,NA,1.21694917794843,NA
2003,"PITA",1.21770972075925,0.064034563816948,1.0753165873472,NA,1.31850394378952,NA
2004,"PITA",1.21811555500359,0.0721437215491483,1.02216026650345,NA,1.24671711132718,NA
2005,"PITA",1.26662282154271,0.0898265721235146,1.08187697891505,0.0249880216843265,1.31370718114115,0.0573565373976559
2006,"PITA",1.28601502415835,0.0847407876390587,1.08404039907093,0.0363374089707158,1.334108441439,0.0427437237906539
2007,"PITA",1.28379510763521,0.0788106561707023,1.08621331160863,0.0370322111168228,1.34451192043965,0.0459895039286952
2008,"PITA",1.29054654349571,0.0766649565919962,1.10257544661196,0.0426834447473738,1.36245366819602,0.0316179322824157
2009,"PITA",1.29827271734391,0.0726566976203374,1.08853226360182,0.0524848403405633,1.36939201509109,0.0275217375073666
2010,"PITA",1.31238112827964,0.0644853623561968,1.08202292310928,0.065742161859535,1.33907014841477,0.040198111773671
1996,"Braodleaved",1.26920642363118,0.136372113179901,NA,NA,NA,NA
1997,"Braodleaved",1.27763677622082,0.148339800700223,NA,NA,NA,NA
1998,"Braodleaved",1.25758126356604,0.152042836053644,0.64792155344911,NA,0.710182383072995,NA
1999,"Braodleaved",1.24285312372013,0.145588200796939,0.643645615362107,NA,0.706545348097141,NA
2000,"Braodleaved",1.23252961983376,0.160820719417886,0.627236095029801,NA,0.680064616973624,NA
2001,"Braodleaved",1.18905430240713,0.149274389522458,0.649864774662964,NA,0.698385320300024,NA
2002,"Braodleaved",1.19493136847617,0.143239429771445,0.626409835224793,NA,0.685595386766802,NA
2003,"Braodleaved",1.19548432293103,0.150159306128258,0.598816973539829,NA,0.512212183956146,NA
2004,"Braodleaved",1.16457906151714,0.144674079809759,0.599510624716166,NA,0.405978574953832,NA
2005,"Braodleaved",1.16390497442666,0.156076855358156,0.81464287194356,0.124453311749187,1.06809360680403,0.26586392726968
2006,"Braodleaved",1.17806737226917,0.16522342337768,0.86685758060008,0.134198607842582,1.11034381806993,0.282644370379073
2007,"Braodleaved",1.19271125478163,0.161546488500911,0.857318907416925,0.128523262059318,1.11979606104839,0.292356986772063
2008,"Braodleaved",1.22564488423571,0.163762760492169,0.894993039274322,0.133970114887352,1.14856954421034,0.305679379212558
2009,"Braodleaved",1.24599105199021,0.165223927031865,0.950868220360005,0.170350006748466,1.20867371643487,0.314520220228512
2010,"Braodleaved",1.265649586181,0.167478891257672,0.94337220158994,0.164254321056078,1.23897077501658,0.333887360372877
1996,"Stand",1.06202257020005,0.0633520108246621,NA,NA,NA,NA
1997,"Stand",1.09358677385542,0.063486969640062,NA,NA,NA,NA
1998,"Stand",1.11751211244283,0.062424277964213,0.979127662000589,NA,0.998014341012444,NA
1999,"Stand",1.13894083889011,0.0629150387992879,1.00752692674912,NA,1.03920529628202,NA
2000,"Stand",1.15595355846685,0.0660977065166784,1.00486184011758,NA,1.08043146919498,NA
2001,"Stand",1.1808428042618,0.0692412494012746,1.01630233608379,NA,1.08968504867852,NA
2002,"Stand",1.18741987895353,0.0669225529230959,1.02890400110718,NA,1.14244446783114,NA
2003,"Stand",1.2174707701941,0.0613890985033436,1.00344741747489,NA,1.19689310135654,NA
2004,"Stand",1.2148661869021,0.0709542519050037,0.961737120555808,NA,1.12652283629534,NA
2005,"Stand",1.25954509928467,0.0854235950097511,1.04785693315704,0.0294360552870566,1.28400565333489,0.0689723027093034
2006,"Stand",1.27818787252029,0.0797027981347265,1.05511992858976,0.0325648084513276,1.30772218531377,0.0544289919060631
2007,"Stand",1.27717202879828,0.0745818496735884,1.05675891377062,0.0343978459714275,1.3195945943631,0.0618005889875243
2008,"Stand",1.28619465449008,0.0725115178003765,1.07569568097458,0.0386988349242949,1.33929158207144,0.0531740719795804
2009,"Stand",1.2946424723544,0.0674425063435248,1.06663340625845,0.050330764728403,1.35108147045109,0.0452936500357518
2010,"Stand",1.30809308585792,0.0618102441969078,1.06075448969195,0.0612358630046491,1.32745407999283,0.0616647017339133
